foundation,n_models,n_items,var_model,var_item,var_resid,sd_model,sd_item
Authority,21,17,0.07359017797625718,0.28528522749411445,0.12922982144602632,0.2712750964911029,0.5341209858207356
Care,21,16,0.06992130749313293,0.27609857729804815,0.1503477896968937,0.26442637442799255,0.5254508324268296
Fairness,21,17,0.051043106516557815,0.5022432375698919,0.0999657595683268,0.2259272150860932,0.7086912145426186
Liberty,21,17,0.03642874439766673,0.5297173751849678,0.15180743160688756,0.1908631562079668,0.7278168555240856
Loyalty,21,16,0.25347473764085426,0.42623246897820966,0.343058627753951,0.5034627470239027,0.652864816771596
Sanctity,21,17,0.09569421538706284,1.1305293501741656,0.4059797296056774,0.3093448163248624,1.0632635374986605
Social Norms,21,16,0.020049460016600407,0.016313466238868046,0.05247183446447902,0.14159611582455364,0.1277241803217701
