N_models,R_true,median_Rhat,p2.5,p97.5,ratio_width,P_correct_band,P_undefined
8,0.1,0.10253916347637078,0.0016081535288737195,0.6023266514260397,374.5454899743826,0.82525,0.0
8,0.25,0.25668720653099464,0.061572736704677014,1.512678435649628,24.567341271591168,0.4584792396198099,0.0004999999999999449
8,0.5,0.5276675362258382,0.1341705665383111,3.720258988475832,27.727832448360036,0.6373239436619719,0.006000000000000005
8,1.0,1.0477474940538871,0.2641842349001245,11.34763008285473,42.95347179647086,0.5209350115592088,0.02675000000000005
8,2.0,2.015056221999953,0.472816130165975,31.827480997537943,67.31471066007283,0.8018358531317494,0.07399999999999995
13,0.1,0.09931439609933954,0.018572862539776948,0.3696681791599879,19.903672811247084,0.92225,0.0
13,0.25,0.2591383062322926,0.08589416228844045,0.9703267002661345,11.296771217206691,0.4995,0.0
13,0.5,0.5204637904128983,0.18520641754115613,2.224272447859576,12.00969425028322,0.7625,0.0
13,1.0,1.0480591449448813,0.3608144374478998,5.377804734984025,14.904627356438748,0.5289546252193532,0.00275000000000003
13,2.0,2.038143947505323,0.6620050265948798,19.731600755272307,29.805817120097558,0.8775405196809879,0.028249999999999997
20,0.1,0.10105075273534547,0.03227599799243652,0.2654535983270056,8.224489243964241,0.96675,0.0
20,0.25,0.25338066485989313,0.10916033933729023,0.6651243203064501,6.093095022829754,0.509,0.0
20,0.5,0.5069724005098304,0.22021092247313692,1.4691013307491263,6.671337253620283,0.86325,0.0
20,1.0,1.0256546206291213,0.43378716005528917,3.5589028124324162,8.204260384237305,0.5191297824456114,0.00024999999999997247
20,2.0,2.0606852339723845,0.8082395734007553,11.163148375056124,13.811682504094637,0.9308871575772807,0.005249999999999977
30,0.1,0.10092852940111516,0.04281498546135866,0.22070036936365114,5.154745867258029,0.98675,0.0
30,0.25,0.25228530575879915,0.12625648186409053,0.5275219255835015,4.178176975906515,0.50925,0.0
30,0.5,0.5070906206941379,0.26257849964727037,1.1192478872476455,4.262526782471394,0.93875,0.0
30,1.0,1.0203856805659521,0.5138261632327034,2.537159020283285,4.937777018439304,0.52175,0.0
30,2.0,2.017710901378503,0.8907501216692061,7.093287605662028,7.9632743606811776,0.94925,0.0
